Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,"2.00% crediting rate andmaximum charges","4.00% alternative crediting rate andcurrent charges",,,
,,,,"Surrendervalue","Deathbenefit","Cashvalue","Surrendervalue","Deathbenefit"
41,85.0,$0,"($32,292)",$0,$0,$0,$0,$0
42,86.0,$0,"($32,292)",$0,$0,$0,$0,$0
43,87.0,$0,"($32,292)",$0,$0,$0,$0,$0
44,88.0,$0,"($32,292)",$0,$0,$0,$0,$0
45,89.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($565,009)",,,,,
46,90.0,$0,"($32,292)",$0,$0,$0,$0,$0
47,91.0,$0,"($32,292)",$0,$0,$0,$0,$0
48,92.0,$0,"($32,292)",$0,$0,$0,$0,$0
49,93.0,$0,"($32,292)",$0,$0,$0,$0,$0
50,94.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($726,469)",,,,,
51,95.0,$0,"($32,292)",$0,$0,$0,$0,$0
52,96.0,$0,"($32,292)",$0,$0,$0,$0,$0
53,97.0,$0,"($32,292)",$0,$0,$0,$0,$0
54,98.0,$0,"($32,292)",$0,$0,$0,$0,$0
55,99.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($887,929)",,,,,
56,100.0,$0,"($32,292)",$0,$0,$0,$0,$0
57,101.0,$0,"($32,292)",$0,$0,$0,$0,$0
58,102.0,$0,"($32,292)",$0,$0,$0,$0,$0
59,103.0,$0,"($32,292)",$0,$0,$0,$0,$0
60,104.0,$0,"($32,292)",$0,$0,$0,$0,$0
"$209,999($1,049,389)",,,,,,,,
