Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,"2.00% crediting rate andmaximum charges","4.00% alternative crediting rate andcurrent charges",,,
,,,,"Surrendervalue","Deathbenefit","Cashvalue","Surrendervalue","Deathbenefit"
1,45.0,"$10,000","$10,000","$3,444","$159,599","$8,746","$4,109","$160,264"
2,46.0,"$10,000","$10,000","$11,733","$167,795","$17,807","$13,193","$169,255"
3,47.0,"$10,000","$10,000","$20,066","$176,034","$27,203","$22,683","$178,651"
4,48.0,"$10,000","$10,000","$28,461","$184,333","$36,955","$32,531","$188,403"
5,49.0,"$10,000","$10,000","$36,913","$192,688","$47,077","$42,750","$198,525"
,,"$50,000","$50,000",,,,,
6,50.0,"$10,000","$10,000","$45,415","$201,092","$57,584","$53,355","$209,032"
7,51.0,"$10,000","$10,000","$53,959","$209,536","$68,484","$64,355","$219,932"
8,52.0,"$10,000","$10,000","$63,430","$218,005","$79,793","$76,665","$231,241"
9,53.0,"$10,000","$10,000","$73,478","$226,490","$91,521","$89,958","$242,969"
10,54.0,"$10,000","$10,000","$83,527","$234,975","$103,679","$103,679","$255,127"
,,"$100,000","$100,000",,,,,
11,55.0,"$10,000","$10,000","$92,626","$244,074","$117,586","$117,586","$269,034"
12,56.0,"$10,000","$10,000","$101,710","$253,158","$132,085","$132,085","$283,533"
13,57.0,"$10,000","$10,000","$110,770","$262,218","$147,199","$147,199","$298,647"
14,58.0,"$10,000","$10,000","$119,827","$271,275","$162,954","$162,954","$314,402"
15,59.0,"$10,000","$10,000","$128,866","$280,314","$179,377","$179,377","$330,825"
,,"$149,999","$149,999",,,,,
16,60.0,"$10,000","$10,000","$137,865","$289,313","$196,498","$196,498","$347,946"
17,61.0,"$10,000","$10,000","$146,790","$298,238","$214,345","$214,345","$365,793"
18,62.0,"$10,000","$10,000","$155,605","$307,053","$232,948","$232,948","$384,396"
19,63.0,"$10,000","$10,000","$164,286","$315,734","$252,343","$252,343","$403,791"
20,64.0,"$10,000","$10,000","$172,820","$324,268","$272,558","$272,558","$424,006"
"$199,999$199,999",,,,,,,,
